usage_id,customer_id,date,data_used_gb,calls_minutes,sms_sent,roaming,network_type
USG00048,CUS0313,2023-12-14,15.51,469,24,0,4G
USG00049,CUS0030,2023-08-01,16.35,483,0,0,4G
USG00050,CUS0321,2023-11-10,18.03,392,26,0,3G
USG00051,CUS0307,2023-07-24,19.39,565,64,0,3G
USG00052,CUS0448,2023-01-07,56.89,5045,54,1,4G
USG00053,CUS0289,2023-12-01,2.56,25,38,0,4G
USG00054,CUS0213,2023-11-11,4.32,59,39,0,4G
USG00055,CUS0081,2023-02-17,4.02,18,41,1,4G
USG00056,CUS0074,2023-09-29,15.86,451,13,0,4G
USG00057,CUS0184,2023-07-05,18.38,494,49,0,5G
USG00058,CUS0349,2023-10-29,58.12,4991,49,0,4G
USG00059,CUS0337,2023-11-05,19.12,420,43,0,4G
USG00060,CUS0380,2023-11-13,5.04,173,36,0,3G
USG00061,CUS0391,2023-01-17,62.44,5006,7,0,4G
USG00062,CUS0334,2023-10-09,15.26,543,24,0,3G
USG00063,CUS0287,2023-05-23,62.28,5015,15,0,5G
USG00064,CUS0482,2023-05-21,20.16,451,11,0,4G
USG00065,CUS0286,2023-09-01,64.13,4884,42,0,4G
USG00066,CUS0078,2023-11-18,7.88,158,3,0,4G
USG00067,CUS0480,2023-01-15,20.03,413,3,0,4G
USG00068,CUS0031,2023-10-06,5.28,197,36,0,5G
USG00069,CUS0399,2023-04-04,61.62,4972,26,0,5G
USG00070,CUS0188,2023-03-18,15.73,480,41,0,4G
USG00071,CUS0271,2023-01-15,5.4,178,18,0,4G
USG00072,CUS0227,2023-09-13,58.82,5001,26,0,4G
USG00073,CUS0462,2023-07-19,7.18,160,64,0,4G
USG00074,CUS0405,2023-01-14,5.56,136,9,0,4G
USG00075,CUS0034,2023-11-27,60.05,5040,15,0,4G
USG00076,CUS0031,2023-04-27,5.9,193,27,0,3G
USG00077,CUS0465,2023-07-12,0.44,88,31,0,4G
USG00078,CUS0016,2023-05-09,60.79,5069,52,1,3G
USG00079,CUS0124,2023-04-29,1.11,28,35,0,4G
USG00080,CUS0389,2023-08-06,1.53,53,55,0,4G
USG00081,CUS0451,2023-09-13,0.64,74,6,0,5G
USG00082,CUS0405,2023-03-22,8.58,114,27,0,4G
USG00083,CUS0489,2023-03-11,57.2,4989,25,0,4G
USG00084,CUS0046,2023-06-19,5.63,176,31,1,4G
USG00085,CUS0083,2023-06-13,3.75,31,10,0,5G
USG00086,CUS0490,2023-08-20,17.96,537,54,0,4G
USG00087,CUS0453,2023-04-18,7.63,44,37,0,4G
USG00088,CUS0024,2023-08-13,62.92,5003,19,0,4G
USG00089,CUS0480,2023-06-02,18.62,469,42,0,4G
USG00090,CUS0078,2023-01-05,5.97,233,39,0,4G
USG00091,CUS0078,2023-09-15,4.55,186,48,0,4G
USG00092,CUS0385,2023-03-28,4.86,124,16,0,3G
USG00093,CUS0047,2023-08-01,61.81,4964,12,0,3G
USG00094,CUS0452,2023-06-21,1.74,46,45,0,4G
USG00095,CUS0300,2023-05-01,0.42,58,7,0,4G
USG00096,CUS0020,2023-03-11,57.32,5052,39,0,4G
USG00097,CUS0295,2023-08-09,0.54,106,10,0,4G
USG00098,CUS0025,2023-06-12,17.16,561,66,1,4G
USG00099,CUS0062,2023-09-07,0.62,130,17,0,5G
USG00100,CUS0220,2023-01-02,18.66,489,1,0,5G
USG00101,CUS0076,2023-11-21,2.32,115,27,0,5G
USG00102,CUS0058,2023-09-29,0.46,113,5,0,3G
USG00103,CUS0491,2023-02-09,2.4,9,6,0,4G
USG00104,CUS0437,2023-04-25,20.69,518,12,0,4G
USG00105,CUS0361,2023-04-01,58.77,5171,17,1,4G
USG00106,CUS0036,2023-01-23,0.92,48,42,0,4G
USG00107,CUS0209,2023-10-12,2.24,5,6,0,4G
USG00108,CUS0006,2023-06-16,7.19,146,2,0,3G
USG00109,CUS0279,2023-05-25,2.94,76,25,0,3G
USG00110,CUS0448,2023-05-18,59.48,5013,16,0,4G
USG00111,CUS0277,2023-08-03,2.1,49,1,0,4G
USG00112,CUS0199,2023-07-17,6.78,63,28,0,4G
USG00113,CUS0460,2023-11-22,0.33,136,8,1,5G
USG00114,CUS0257,2023-05-11,57.17,4960,7,0,3G
USG00115,CUS0124,2023-04-12,0.62,85,45,0,4G
USG00116,CUS0432,2023-11-14,5.12,15,82,0,4G
USG00117,CUS0208,2023-12-22,63.96,4987,15,0,3G
USG00118,CUS0282,2023-12-09,17.83,504,15,0,5G
USG00119,CUS0001,2023-08-31,6.15,137,14,0,3G
USG00120,CUS0262,2023-06-25,61.25,5059,20,0,3G
USG00121,CUS0121,2023-11-19,2.26,20,14,0,3G
USG00122,CUS0182,2023-12-31,1.96,91,18,1,5G
USG00123,CUS0137,2023-11-10,2.63,95,1,0,4G
USG00124,CUS0037,2023-11-18,6.24,256,29,0,4G
USG00125,CUS0474,2023-11-10,0.58,27,53,0,4G
USG00126,CUS0466,2023-08-31,59.97,5031,48,0,4G
USG00127,CUS0268,2023-10-29,5.9,131,11,0,4G
USG00128,CUS0073,2023-02-03,53.83,4908,28,0,5G
USG00129,CUS0187,2023-09-26,17.65,524,27,0,4G
USG00130,CUS0417,2023-07-07,0.92,77,12,0,4G
USG00131,CUS0079,2023-12-05,1.23,36,49,0,4G
USG00132,CUS0165,2023-07-15,0.68,59,60,0,3G
USG00133,CUS0063,2023-07-29,2.76,26,45,0,4G
USG00134,CUS0193,2023-02-22,57.14,5025,32,0,5G
USG00135,CUS0267,2023-06-04,14.76,580,15,0,4G
USG00136,CUS0141,2023-07-22,19.37,474,49,0,3G
USG00137,CUS0356,2023-02-27,20.62,450,0,0,3G
USG00138,CUS0375,2023-03-31,59.74,5050,22,0,4G
USG00139,CUS0004,2023-12-15,58.77,5028,25,0,3G
USG00140,CUS0267,2023-12-05,16.67,416,35,0,4G
USG00141,CUS0268,2023-06-24,4.53,83,22,0,4G
USG00142,CUS0010,2023-10-12,1.14,59,16,0,5G
USG00143,CUS0133,2023-01-30,0.15,13,48,0,4G
USG00144,CUS0368,2023-10-06,59.78,5030,39,0,4G
USG00145,CUS0131,2023-05-04,4.39,184,36,0,3G
USG00146,CUS0047,2023-09-26,60.63,4975,21,0,4G
USG00147,CUS0104,2023-03-07,19.57,630,13,0,4G
USG00148,CUS0317,2023-07-10,19.07,478,45,0,3G
USG00149,CUS0193,2023-07-07,60.88,5063,25,1,4G
USG00150,CUS0497,2023-07-28,4.8,90,27,0,5G
USG00151,CUS0416,2023-05-12,58.55,4961,43,0,3G
USG00152,CUS0436,2023-10-24,4.4,139,23,0,5G
USG00153,CUS0099,2023-12-31,6.62,150,23,0,4G
USG00154,CUS0341,2023-04-15,3.29,93,44,0,4G
USG00155,CUS0041,2023-08-17,8.15,155,13,0,5G
USG00156,CUS0213,2023-09-12,0.79,15,40,0,4G
USG00157,CUS0056,2023-10-31,60.24,4962,33,0,3G
USG00158,CUS0359,2023-08-12,1.76,79,53,0,3G
USG00159,CUS0091,2023-02-03,0.56,85,10,0,3G
USG00160,CUS0070,2023-09-20,8.14,204,25,0,4G
USG00161,CUS0344,2023-04-29,3.79,34,17,0,3G
USG00162,CUS0278,2023-01-21,4.86,141,23,0,4G
USG00163,CUS0284,2023-06-19,18.31,463,45,0,3G
USG00164,CUS0061,2023-02-16,2.64,0,1,0,4G
USG00165,CUS0293,2023-01-08,61.45,5067,26,0,4G
USG00166,CUS0435,2023-04-21,1.97,46,60,0,4G
USG00167,CUS0422,2023-12-15,1.95,88,23,0,4G
USG00168,CUS0248,2023-01-29,1.11,59,4,0,3G
USG00169,CUS0432,2023-10-26,2.39,138,33,0,3G
USG00170,CUS0419,2023-01-26,4.25,43,4,0,4G
USG00171,CUS0165,2023-06-21,3.08,125,25,0,4G
USG00172,CUS0096,2023-10-03,3.91,72,8,0,4G
USG00173,CUS0045,2023-06-10,59.33,4922,63,0,4G
USG00174,CUS0285,2023-07-22,0.31,13,36,0,3G
USG00175,CUS0349,2023-01-27,62.9,5078,20,0,4G
USG00176,CUS0444,2023-07-14,18.51,508,40,0,5G
USG00177,CUS0132,2023-06-06,1.11,26,4,0,4G
USG00178,CUS0107,2023-10-02,60.35,4928,57,0,3G
USG00179,CUS0337,2023-09-08,18.08,438,23,0,4G
USG00180,CUS0188,2023-06-24,16.99,492,48,0,5G
USG00181,CUS0340,2023-01-27,2.29,82,36,0,4G
USG00182,CUS0273,2023-02-04,0.25,39,38,0,5G
USG00183,CUS0422,2023-06-15,1.44,107,12,1,4G
USG00184,CUS0408,2023-08-13,6.13,100,7,0,4G
USG00185,CUS0411,2023-10-31,61.23,5033,8,0,3G
USG00186,CUS0479,2023-08-16,1.64,47,51,0,4G
USG00187,CUS0030,2023-04-03,16.67,488,1,0,4G
USG00188,CUS0026,2023-03-12,6.82,88,47,0,4G
USG00189,CUS0417,2023-11-02,1.92,85,42,0,4G
USG00190,CUS0473,2023-10-15,1.13,104,31,0,4G
USG00191,CUS0256,2023-04-24,4.39,15,19,0,4G
USG00192,CUS0411,2023-04-19,61.32,5076,32,0,4G
USG00193,CUS0075,2023-04-16,0.37,52,20,0,3G
USG00194,CUS0049,2023-04-14,5.59,113,55,0,4G
USG00195,CUS0213,2023-04-25,1.2,3,53,0,4G
USG00196,CUS0362,2023-08-15,3.91,64,29,0,4G
USG00197,CUS0445,2023-01-30,8.16,127,45,0,4G
USG00198,CUS0022,2023-03-23,16.58,441,41,0,4G
USG00199,CUS0389,2023-04-30,2.48,174,24,0,4G
USG00200,CUS0362,2023-10-15,0.65,38,7,0,4G
USG00201,CUS0467,2023-05-13,56.44,5027,6,0,4G
USG00202,CUS0078,2023-12-07,8.25,235,24,0,3G
USG00203,CUS0499,2023-01-17,21.32,513,52,0,4G
USG00204,CUS0329,2023-05-30,17.55,557,11,0,5G
USG00205,CUS0356,2023-02-17,19.25,472,27,0,4G
USG00206,CUS0373,2023-04-05,7.26,160,28,0,3G
USG00207,CUS0059,2023-01-20,2.06,78,2,0,4G
USG00208,CUS0337,2023-04-18,19.12,540,14,0,5G
USG00209,CUS0270,2023-02-07,6.77,70,58,0,4G
USG00210,CUS0010,2023-09-12,1.32,55,53,0,4G
USG00211,CUS0103,2023-09-06,17.71,535,9,0,4G
USG00212,CUS0307,2023-10-26,16.86,416,25,0,4G
USG00213,CUS0104,2023-03-13,20.06,513,47,0,4G
USG00214,CUS0297,2023-06-03,57.95,4946,20,1,5G
USG00215,CUS0052,2023-01-01,1.75,51,29,0,4G
USG00216,CUS0337,2023-06-03,19.25,490,29,1,4G
USG00217,CUS0180,2023-08-19,62.61,4964,33,0,4G
USG00218,CUS0381,2023-07-06,63.22,5005,44,0,4G
USG00219,CUS0415,2023-02-05,0.59,177,14,0,3G
USG00220,CUS0049,2023-10-10,0.47,3,62,0,4G
USG00221,CUS0305,2023-07-21,18.7,484,4,0,4G
USG00222,CUS0021,2023-09-20,2.53,66,16,0,3G
USG00223,CUS0332,2023-12-23,1.18,6,34,0,5G
USG00224,CUS0429,2023-06-30,18.62,504,26,1,4G
USG00225,CUS0185,2023-03-28,14.46,502,9,0,4G
USG00226,CUS0170,2023-01-03,0.68,57,16,0,3G
USG00227,CUS0156,2023-03-18,15.95,559,37,0,4G
USG00228,CUS0451,2023-05-03,0.67,150,29,0,3G
USG00229,CUS0139,2023-10-02,1.86,97,16,0,4G
USG00230,CUS0240,2023-05-06,16.71,473,46,0,5G
USG00231,CUS0022,2023-09-17,15.65,493,11,0,4G
USG00232,CUS0146,2023-07-26,18.54,406,37,0,4G
USG00233,CUS0466,2023-05-03,59.01,4986,40,0,5G
USG00234,CUS0257,2023-05-03,62.29,4897,50,0,4G
USG00235,CUS0055,2023-01-28,61.12,4981,58,0,5G
USG00236,CUS0108,2023-12-19,0.98,107,18,0,4G
USG00237,CUS0385,2023-03-29,4.27,223,73,0,4G
USG00238,CUS0016,2023-08-06,61.27,5052,20,0,5G
USG00239,CUS0057,2023-05-30,3.35,136,60,0,4G
USG00240,CUS0044,2023-12-06,56.28,4969,8,0,4G
USG00241,CUS0125,2023-11-01,18.22,552,5,0,5G
USG00242,CUS0364,2023-02-01,0.22,109,28,0,4G
USG00243,CUS0307,2023-06-22,15.52,421,10,0,4G
USG00244,CUS0111,2023-11-13,19.55,455,51,0,4G
USG00245,CUS0418,2023-06-05,61.73,4959,19,0,3G
USG00246,CUS0304,2023-04-04,3.36,68,35,1,3G
USG00247,CUS0403,2023-07-28,14.71,553,12,1,4G
USG00248,CUS0076,2023-09-19,2.74,22,38,0,4G
USG00249,CUS0409,2023-06-26,64.19,4977,3,0,4G
USG00250,CUS0102,2023-04-23,64.25,5009,24,0,4G
USG00251,CUS0002,2023-09-03,3.85,89,59,1,5G
USG00252,CUS0399,2023-06-18,59.46,4967,19,0,5G
USG00253,CUS0326,2023-02-02,63.14,4964,42,0,4G
USG00254,CUS0434,2023-07-07,1.13,44,12,0,4G
USG00255,CUS0334,2023-06-28,19.32,596,28,0,3G
USG00256,CUS0345,2023-09-12,0.04,17,33,0,4G
USG00257,CUS0464,2023-01-28,5.46,143,30,0,5G
USG00258,CUS0085,2023-08-11,57.05,5046,34,0,5G
USG00259,CUS0154,2023-10-31,17.85,513,48,0,4G
USG00260,CUS0035,2023-05-10,1.91,8,53,0,4G
USG00261,CUS0123,2023-04-12,0.27,13,1,0,5G
USG00262,CUS0122,2023-09-10,1.82,2,19,0,4G
USG00263,CUS0201,2023-12-06,60.9,5001,50,0,4G
USG00264,CUS0423,2023-07-14,6.61,125,23,0,4G
USG00265,CUS0117,2023-12-01,58.99,5038,30,0,4G
USG00266,CUS0340,2023-11-01,0.22,80,31,0,3G
USG00267,CUS0406,2023-06-06,59.07,4908,38,1,3G
USG00268,CUS0310,2023-01-09,18.48,503,21,0,3G
USG00269,CUS0215,2023-07-30,16.33,486,34,0,3G
USG00270,CUS0075,2023-06-21,1.54,51,20,0,4G
USG00271,CUS0182,2023-07-21,2.48,74,14,0,5G
USG00272,CUS0017,2023-05-30,2.12,77,46,0,4G
USG00273,CUS0096,2023-12-26,5.74,138,6,0,3G
USG00274,CUS0339,2023-10-03,7.51,21,22,0,4G
USG00275,CUS0111,2023-12-16,17.32,551,29,0,3G
USG00276,CUS0422,2023-04-05,0.13,25,15,0,4G
USG00277,CUS0491,2023-03-19,0.81,33,26,0,4G
USG00278,CUS0180,2023-11-09,58.63,4986,49,0,3G
USG00279,CUS0158,2023-09-13,3.8,152,62,0,5G
USG00280,CUS0405,2023-11-07,7.11,122,43,0,4G
USG00281,CUS0201,2023-09-27,58.5,4999,61,1,4G
USG00282,CUS0054,2023-05-06,63.79,4896,44,0,4G
USG00283,CUS0378,2023-06-30,63.9,4966,35,0,5G
USG00284,CUS0377,2023-09-21,3.61,0,39,0,4G
USG00285,CUS0476,2023-05-10,17.88,384,36,0,4G
USG00286,CUS0264,2023-11-16,5.63,205,71,0,4G
USG00287,CUS0491,2023-06-01,1.97,7,39,0,3G
USG00288,CUS0481,2023-09-25,60.4,5060,1,0,4G
USG00289,CUS0465,2023-12-02,1.73,92,42,0,4G
USG00290,CUS0355,2023-01-10,59.96,4961,15,1,4G
USG00291,CUS0286,2023-07-13,58.86,4943,23,0,5G
USG00292,CUS0457,2023-03-19,0.81,143,36,0,3G
USG00293,CUS0018,2023-06-16,0.16,24,53,0,4G
USG00294,CUS0488,2023-05-19,18.9,517,44,0,5G
USG00295,CUS0471,2023-10-23,63.17,4926,15,0,3G
USG00296,CUS0089,2023-10-29,1.68,89,22,0,4G
USG00297,CUS0322,2023-05-04,4.66,104,43,0,5G
USG00298,CUS0014,2023-08-04,5.72,118,55,0,3G
USG00299,CUS0333,2023-02-13,1.49,45,81,0,3G
USG00300,CUS0253,2023-12-30,59.26,4966,15,0,4G
USG00301,CUS0166,2023-03-24,0.33,76,45,0,3G
USG00302,CUS0423,2023-01-25,7.09,133,0,0,4G
USG00303,CUS0458,2023-03-13,1.17,121,51,0,4G
USG00304,CUS0084,2023-06-07,1.46,108,22,0,4G
USG00305,CUS0349,2023-06-09,59.89,4925,23,0,5G
USG00306,CUS0153,2023-07-16,6.28,139,45,0,4G
USG00307,CUS0493,2023-12-22,9.77,229,23,0,4G
USG00308,CUS0457,2023-09-01,0.34,20,10,0,4G
USG00309,CUS0476,2023-08-13,18.07,525,33,0,4G
USG00310,CUS0186,2023-07-21,18.39,509,27,0,3G
USG00311,CUS0137,2023-02-27,0.32,163,50,0,5G
USG00312,CUS0231,2023-09-14,1.22,24,18,0,4G
USG00313,CUS0399,2023-06-11,60.07,5075,50,1,4G
USG00314,CUS0388,2023-10-02,62.14,5064,52,0,5G
USG00315,CUS0435,2023-12-10,2.07,57,27,0,4G
USG00316,CUS0141,2023-07-20,14.51,492,66,0,3G
USG00317,CUS0272,2023-05-28,4.92,112,50,0,4G
USG00318,CUS0133,2023-08-19,0.76,1,61,0,4G
USG00319,CUS0273,2023-12-24,1.85,75,18,0,4G
USG00320,CUS0309,2023-07-04,2.79,82,45,0,4G
USG00321,CUS0454,2023-02-05,20.3,567,33,0,4G
USG00322,CUS0386,2023-11-05,1.98,38,42,0,3G
USG00323,CUS0428,2023-12-31,19.37,476,14,0,4G
USG00324,CUS0085,2023-11-27,59.88,4926,36,0,4G
USG00325,CUS0397,2023-07-26,2.39,3,30,0,4G
USG00326,CUS0205,2023-07-20,8.14,213,50,0,4G
USG00327,CUS0180,2023-04-06,59.7,4979,22,0,4G
USG00328,CUS0273,2023-09-24,1.79,171,58,0,4G
USG00329,CUS0069,2023-04-20,63.17,5080,2,0,4G
USG00330,CUS0474,2023-07-31,1.4,34,54,1,4G
USG00331,CUS0437,2023-10-21,21.38,460,30,0,5G
USG00332,CUS0222,2023-07-26,19.11,470,17,0,4G
USG00333,CUS0403,2023-12-14,16.65,553,11,0,4G
USG00334,CUS0078,2023-04-24,8.27,155,45,0,4G
USG00335,CUS0257,2023-03-05,63.09,4959,13,0,4G
USG00336,CUS0381,2023-11-29,60.85,4937,15,0,4G
USG00337,CUS0068,2023-11-28,0.37,39,5,0,3G
USG00338,CUS0314,2023-05-21,17.24,534,56,0,5G
USG00339,CUS0310,2023-09-18,14.08,578,47,0,4G
USG00340,CUS0463,2023-04-25,15.83,411,38,0,4G
USG00341,CUS0347,2023-10-19,5.16,158,47,0,4G
USG00342,CUS0185,2023-01-12,17.26,509,39,0,4G
USG00343,CUS0063,2023-06-16,2.37,135,63,0,3G
USG00344,CUS0323,2023-03-13,2.28,45,77,0,5G
USG00345,CUS0031,2023-08-17,7.28,175,8,0,5G
USG00346,CUS0414,2023-01-17,2.15,16,20,1,3G
USG00347,CUS0057,2023-09-05,3.34,119,31,0,4G
USG00348,CUS0494,2023-06-19,57.02,4946,28,0,4G
USG00349,CUS0112,2023-10-12,57.49,4924,13,0,4G
USG00350,CUS0145,2023-10-23,57.2,5036,10,0,4G
USG00351,CUS0115,2023-03-30,3.33,115,6,1,5G
USG00352,CUS0138,2023-08-06,1.88,31,7,0,4G
USG00353,CUS0371,2023-02-15,59.33,4985,44,0,3G
USG00354,CUS0200,2023-09-20,3.84,5,21,0,3G
USG00355,CUS0116,2023-12-08,19.06,570,18,0,4G
USG00356,CUS0412,2023-07-10,4.35,49,60,0,4G
USG00357,CUS0337,2023-05-09,17.16,450,30,1,3G
USG00358,CUS0295,2023-03-10,2.93,31,17,0,5G
USG00359,CUS0233,2023-04-08,1.97,66,10,0,4G
USG00360,CUS0058,2023-07-26,1.72,80,4,0,4G
USG00361,CUS0040,2023-09-22,1.37,6,28,1,4G
USG00362,CUS0405,2023-12-27,5.33,61,26,0,4G
USG00363,CUS0104,2023-10-14,19.95,556,32,0,4G
USG00364,CUS0383,2023-01-12,7.24,203,57,0,5G
USG00365,CUS0369,2023-01-09,21.39,480,24,1,4G
USG00366,CUS0214,2023-01-07,62.95,5093,60,0,5G
USG00367,CUS0136,2023-10-13,2.89,46,35,0,4G
USG00368,CUS0290,2023-11-20,2.06,33,31,0,4G
USG00369,CUS0157,2023-02-23,59.72,5077,24,1,4G
USG00370,CUS0354,2023-07-01,3.87,93,37,0,4G
USG00371,CUS0412,2023-08-21,2.73,66,8,0,4G
USG00372,CUS0055,2023-03-20,61.43,5042,27,0,3G
USG00373,CUS0249,2023-02-12,7.46,203,4,0,4G
USG00374,CUS0244,2023-03-07,5.72,123,11,0,5G
USG00375,CUS0289,2023-05-09,1.24,20,21,0,4G
USG00376,CUS0182,2023-05-09,2.29,80,36,0,4G
USG00377,CUS0364,2023-05-23,5.07,0,35,0,5G
USG00378,CUS0224,2023-07-16,1.81,58,53,0,3G
USG00379,CUS0069,2023-03-12,62.43,4961,24,1,4G
USG00380,CUS0373,2023-10-27,8.52,144,49,0,4G
USG00381,CUS0005,2023-02-14,58.06,5082,50,0,4G
USG00382,CUS0105,2023-10-21,6.93,102,26,0,4G
USG00383,CUS0440,2023-06-15,18.3,515,27,0,5G
USG00384,CUS0454,2023-08-25,17.56,511,57,0,4G
USG00385,CUS0004,2023-05-05,55.98,4917,0,0,4G
USG00386,CUS0196,2023-02-23,16.63,395,41,0,4G
USG00387,CUS0484,2023-04-13,6.19,134,16,0,5G
USG00388,CUS0300,2023-11-22,0.91,40,36,0,3G
USG00389,CUS0390,2023-02-04,16.54,538,0,0,4G
USG00390,CUS0442,2023-08-29,4.3,124,18,0,4G
USG00391,CUS0368,2023-11-29,57.6,5046,0,0,3G
USG00392,CUS0311,2023-03-14,9.64,57,70,0,3G
USG00393,CUS0307,2023-07-15,18.9,501,38,1,4G
USG00394,CUS0410,2023-04-28,4.99,83,14,1,5G
USG00395,CUS0404,2023-04-25,62.39,5013,2,0,4G
USG00396,CUS0125,2023-02-18,19.52,427,33,0,4G
USG00397,CUS0411,2023-01-01,60.47,4960,42,1,4G
USG00398,CUS0206,2023-05-04,0.24,71,19,0,4G
USG00399,CUS0397,2023-12-11,1.43,175,32,1,5G
USG00400,CUS0327,2023-10-23,15.83,492,14,0,4G
USG00401,CUS0022,2023-03-20,18.05,509,31,0,3G
USG00402,CUS0388,2023-02-23,60.17,4966,38,0,4G
USG00403,CUS0096,2023-03-15,8.11,112,28,0,4G
USG00404,CUS0316,2023-09-20,60.12,5074,51,0,5G
USG00405,CUS0403,2023-07-15,16.54,504,0,0,4G
USG00406,CUS0037,2023-01-16,4.07,150,42,0,4G
USG00407,CUS0258,2023-10-15,19.91,481,2,0,5G
USG00408,CUS0406,2023-10-03,60.79,4989,38,1,4G
USG00409,CUS0339,2023-10-07,6.32,192,43,0,3G
USG00410,CUS0204,2023-12-10,7.69,122,49,1,4G
USG00411,CUS0013,2023-04-06,0.41,35,67,0,3G
USG00412,CUS0107,2023-03-04,60.71,4929,59,0,4G
USG00413,CUS0344,2023-08-08,3.8,128,33,0,5G
USG00414,CUS0500,2023-02-14,2.49,46,16,0,4G
USG00415,CUS0347,2023-02-18,9.06,127,20,0,4G
USG00416,CUS0436,2023-02-21,0.29,141,47,0,4G
USG00417,CUS0155,2023-06-08,17.26,497,40,0,4G
USG00418,CUS0253,2023-11-07,61.76,4902,48,0,4G
USG00419,CUS0394,2023-04-09,59.56,4958,22,1,4G
USG00420,CUS0023,2023-02-28,61.58,5105,32,0,5G
USG00421,CUS0110,2023-09-24,19.11,451,39,0,3G
USG00422,CUS0473,2023-11-09,3.45,29,19,0,4G
USG00423,CUS0470,2023-02-10,3.38,45,22,0,4G
USG00424,CUS0367,2023-01-16,1.8,71,22,0,4G
USG00425,CUS0436,2023-08-09,0.71,83,4,0,4G
USG00426,CUS0093,2023-11-13,2.82,48,53,0,3G
USG00427,CUS0131,2023-12-28,8.33,170,39,0,4G
USG00428,CUS0434,2023-06-28,2.88,51,9,1,3G
USG00429,CUS0049,2023-03-25,1.1,115,5,0,3G
USG00430,CUS0391,2023-11-16,59.36,4920,1,0,4G
USG00431,CUS0141,2023-05-08,20.95,505,62,1,5G
USG00432,CUS0011,2023-06-24,8.37,94,7,0,4G
USG00433,CUS0472,2023-06-18,22.14,475,7,1,4G
USG00434,CUS0456,2023-06-25,61.38,5007,16,0,5G
USG00435,CUS0083,2023-02-23,1.11,69,31,1,4G
USG00436,CUS0218,2023-11-18,7.51,128,23,0,4G
USG00437,CUS0276,2023-03-04,61.2,5018,51,0,4G
USG00438,CUS0109,2023-09-29,17.5,494,6,1,5G
USG00439,CUS0126,2023-07-28,63.0,4915,34,0,5G
USG00440,CUS0354,2023-11-20,0.02,80,44,0,4G
USG00441,CUS0112,2023-05-28,56.72,4986,5,0,4G
USG00442,CUS0366,2023-05-14,20.81,473,1,0,4G
USG00443,CUS0486,2023-04-01,4.6,228,59,0,5G
USG00444,CUS0352,2023-03-27,4.34,12,26,0,4G
