bill_id,customer_id,bill_date,base_fee,overuse_charges,total_amount,paid,days_to_pay
BIL00069,CUS0409,2023-02-01,799,12.67,811.67,1,21.0
BIL00070,CUS0215,2023-12-12,499,15.39,514.39,1,18.0
BIL00071,CUS0024,2023-05-07,799,32.7,831.7,1,4.0
BIL00072,CUS0354,2023-05-04,50,56.21,106.21,1,14.0
BIL00073,CUS0090,2023-01-29,499,7.09,506.09,1,2.0
BIL00074,CUS0152,2023-01-16,199,33.44,232.44,1,15.0
BIL00075,CUS0459,2023-03-28,0,2.96,2.96,1,12.0
BIL00076,CUS0416,2023-06-24,799,44.55,843.55,1,5.0
BIL00077,CUS0156,2023-09-29,499,78.15,577.15,1,21.0
BIL00078,CUS0280,2023-05-21,499,71.34,570.34,1,12.0
BIL00079,CUS0335,2023-07-13,199,35.29,234.29,1,1.0
BIL00080,CUS0157,2023-08-10,799,29.67,828.67,0,
BIL00081,CUS0320,2023-10-31,50,18.92,68.92,1,10.0
BIL00082,CUS0500,2023-05-12,50,8.65,58.65,1,13.0
BIL00083,CUS0076,2023-06-22,50,22.49,72.49,1,19.0
BIL00084,CUS0262,2023-03-18,799,65.28,864.28,1,11.0
BIL00085,CUS0315,2023-12-30,799,2.42,801.42,1,5.0
BIL00086,CUS0259,2023-02-16,50,52.9,102.9,1,25.0
BIL00087,CUS0202,2023-05-06,50,95.86,145.86,1,8.0
BIL00088,CUS0279,2023-11-18,0,5.66,5.66,1,18.0
BIL00089,CUS0270,2023-01-04,199,41.0,240.0,0,
BIL00090,CUS0323,2023-05-02,50,19.55,69.55,1,13.0
BIL00091,CUS0249,2023-08-10,199,18.36,217.36,1,23.0
BIL00092,CUS0287,2023-03-11,799,47.78,846.78,1,27.0
BIL00093,CUS0346,2023-12-18,499,93.74,592.74,1,15.0
BIL00094,CUS0029,2023-04-03,199,8.89,207.89,1,8.0
BIL00095,CUS0303,2023-12-27,499,29.85,528.85,1,8.0
BIL00096,CUS0441,2023-03-06,50,84.55,134.55,0,
BIL00097,CUS0247,2023-06-07,199,46.86,245.86,1,11.0
BIL00098,CUS0093,2023-05-12,0,29.09,29.09,1,15.0
BIL00099,CUS0043,2023-10-09,50,3.79,53.79,1,18.0
BIL00100,CUS0358,2023-11-21,199,43.96,242.96,1,22.0
BIL00101,CUS0174,2023-07-02,499,85.84,584.84,1,18.0
BIL00102,CUS0101,2023-02-10,0,13.69,13.69,0,
BIL00103,CUS0270,2023-07-19,199,64.72,263.72,1,26.0
BIL00104,CUS0018,2023-03-24,50,67.61,117.61,1,29.0
BIL00105,CUS0229,2023-08-14,199,34.41,233.41,1,15.0
BIL00106,CUS0319,2023-06-07,0,7.57,7.57,1,8.0
BIL00107,CUS0134,2023-03-07,50,34.11,84.11,1,16.0
BIL00108,CUS0363,2023-08-24,0,75.0,75.0,1,14.0
BIL00109,CUS0379,2023-02-21,0,28.98,28.98,1,10.0
BIL00110,CUS0445,2023-07-29,199,11.13,210.13,0,
BIL00111,CUS0043,2023-08-03,50,31.32,81.32,0,
BIL00112,CUS0351,2023-12-07,799,89.94,888.94,1,6.0
BIL00113,CUS0167,2023-08-07,0,65.65,65.65,1,9.0
BIL00114,CUS0411,2023-04-28,799,40.82,839.82,1,25.0
BIL00115,CUS0233,2023-07-14,0,29.32,29.32,1,11.0
BIL00116,CUS0427,2023-08-29,50,3.55,53.55,1,6.0
BIL00117,CUS0281,2023-12-15,199,36.32,235.32,1,25.0
BIL00118,CUS0016,2023-06-14,799,23.72,822.72,1,14.0
BIL00119,CUS0160,2023-04-01,799,55.18,854.18,1,26.0
BIL00120,CUS0274,2023-10-24,799,26.02,825.02,1,21.0
BIL00121,CUS0094,2023-10-24,499,5.12,504.12,1,3.0
BIL00122,CUS0030,2023-09-27,499,112.44,611.44,0,
BIL00123,CUS0258,2023-06-17,499,10.74,509.74,1,23.0
BIL00124,CUS0054,2023-12-10,799,99.49,898.49,1,29.0
BIL00125,CUS0246,2023-06-03,50,48.53,98.53,1,17.0
BIL00126,CUS0379,2023-05-03,0,54.53,54.53,1,29.0
BIL00127,CUS0182,2023-01-24,50,92.51,142.51,1,18.0
BIL00128,CUS0060,2023-08-09,499,80.1,579.1,1,24.0
BIL00129,CUS0160,2023-04-28,799,0.4,799.4,1,12.0
BIL00130,CUS0262,2023-09-18,799,43.06,842.06,1,14.0
BIL00131,CUS0278,2023-10-17,199,2.32,201.32,1,22.0
BIL00132,CUS0164,2023-06-25,199,64.54,263.54,1,6.0
BIL00133,CUS0446,2023-11-20,0,35.53,35.53,1,18.0
BIL00134,CUS0117,2023-11-14,799,73.67,872.67,1,13.0
BIL00135,CUS0267,2023-04-03,499,1.94,500.94,0,
BIL00136,CUS0293,2023-01-19,799,52.14,851.14,1,5.0
BIL00137,CUS0423,2023-05-25,199,67.43,266.43,0,
BIL00138,CUS0062,2023-04-12,0,42.19,42.19,1,4.0
BIL00139,CUS0243,2023-04-25,499,51.38,550.38,1,20.0
BIL00140,CUS0328,2023-08-15,50,34.48,84.48,1,11.0
BIL00141,CUS0032,2023-08-03,50,80.27,130.27,1,19.0
BIL00142,CUS0212,2023-01-19,799,128.02,927.02,1,15.0
BIL00143,CUS0220,2023-01-24,499,77.32,576.32,1,22.0
BIL00144,CUS0422,2023-08-14,50,71.62,121.62,0,
BIL00145,CUS0287,2023-10-25,799,35.5,834.5,1,17.0
BIL00146,CUS0157,2023-07-20,799,37.12,836.12,1,23.0
BIL00147,CUS0234,2023-07-01,0,47.85,47.85,1,14.0
BIL00148,CUS0236,2023-09-22,50,26.52,76.52,1,24.0
BIL00149,CUS0275,2023-03-26,50,28.53,78.53,1,18.0
BIL00150,CUS0397,2023-04-04,50,59.28,109.28,1,17.0
BIL00151,CUS0179,2023-12-25,0,3.3,3.3,1,27.0
BIL00152,CUS0263,2023-11-06,499,67.99,566.99,1,24.0
BIL00153,CUS0382,2023-07-15,799,41.67,840.67,1,10.0
BIL00154,CUS0431,2023-01-07,799,22.6,821.6,1,13.0
BIL00155,CUS0466,2023-01-25,799,4.74,803.74,1,23.0
BIL00156,CUS0381,2023-06-23,799,8.44,807.44,1,13.0
BIL00157,CUS0149,2023-12-18,199,45.12,244.12,1,9.0
BIL00158,CUS0115,2023-07-20,50,33.27,83.27,1,26.0
BIL00159,CUS0255,2023-04-08,199,43.49,242.49,0,
BIL00160,CUS0366,2023-09-30,499,127.54,626.54,1,1.0
BIL00161,CUS0208,2023-02-02,799,5.63,804.63,1,28.0
BIL00162,CUS0183,2023-10-11,199,41.32,240.32,1,15.0
BIL00163,CUS0434,2023-01-10,0,51.64,51.64,0,
BIL00164,CUS0059,2023-04-04,0,6.22,6.22,0,
BIL00165,CUS0290,2023-07-18,0,38.26,38.26,1,28.0
BIL00166,CUS0299,2023-03-17,799,48.52,847.52,1,28.0
BIL00167,CUS0222,2023-11-26,499,15.69,514.69,1,30.0
BIL00168,CUS0134,2023-01-11,50,100.28,150.28,1,4.0
BIL00169,CUS0490,2023-08-30,499,34.48,533.48,1,8.0
BIL00170,CUS0362,2023-07-26,0,20.12,20.12,1,11.0
BIL00171,CUS0380,2023-04-19,199,79.53,278.53,1,2.0
BIL00172,CUS0148,2023-09-08,199,7.19,206.19,1,17.0
BIL00173,CUS0208,2023-05-16,799,115.32,914.32,1,14.0
BIL00174,CUS0210,2023-09-12,50,41.11,91.11,0,
BIL00175,CUS0337,2023-04-08,499,3.5,502.5,1,19.0
BIL00176,CUS0215,2023-04-27,499,62.73,561.73,1,6.0
BIL00177,CUS0062,2023-06-11,0,36.27,36.27,1,18.0
BIL00178,CUS0392,2023-11-06,199,26.91,225.91,1,7.0
BIL00179,CUS0380,2023-03-08,199,145.84,344.84,1,3.0
BIL00180,CUS0294,2023-03-16,50,48.73,98.73,1,1.0
BIL00181,CUS0386,2023-10-16,0,48.51,48.51,1,30.0
BIL00182,CUS0099,2023-11-15,199,53.85,252.85,1,12.0
BIL00183,CUS0214,2023-10-03,799,42.65,841.65,0,
BIL00184,CUS0394,2023-03-19,799,8.0,807.0,1,6.0
BIL00185,CUS0396,2023-12-05,499,39.29,538.29,1,16.0
BIL00186,CUS0011,2023-12-18,199,16.57,215.57,1,29.0
BIL00187,CUS0368,2023-04-07,799,1.85,800.85,0,
BIL00188,CUS0301,2023-12-06,499,24.88,523.88,1,9.0
BIL00189,CUS0426,2023-03-03,199,25.47,224.47,1,8.0
BIL00190,CUS0014,2023-06-07,199,59.39,258.39,1,2.0
BIL00191,CUS0478,2023-09-19,499,21.46,520.46,1,2.0
BIL00192,CUS0338,2023-02-15,50,70.58,120.58,1,26.0
BIL00193,CUS0477,2023-06-15,799,31.75,830.75,1,30.0
BIL00194,CUS0061,2023-03-07,0,75.71,75.71,0,
BIL00195,CUS0257,2023-09-15,799,41.12,840.12,1,15.0
BIL00196,CUS0014,2023-04-03,199,35.29,234.29,1,5.0
BIL00197,CUS0223,2023-10-28,799,68.72,867.72,1,8.0
BIL00198,CUS0452,2023-07-18,50,13.09,63.09,1,11.0
BIL00199,CUS0285,2023-09-30,50,42.63,92.63,0,
BIL00200,CUS0185,2023-07-16,499,62.96,561.96,0,
BIL00201,CUS0234,2023-04-29,0,14.97,14.97,0,
BIL00202,CUS0255,2023-06-23,199,38.32,237.32,1,13.0
BIL00203,CUS0043,2023-12-12,50,6.7,56.7,0,
BIL00204,CUS0068,2023-08-08,0,41.57,41.57,1,23.0
BIL00205,CUS0477,2023-11-22,799,3.86,802.86,1,5.0
BIL00206,CUS0006,2023-10-08,199,38.11,237.11,1,6.0
BIL00207,CUS0116,2023-05-13,499,33.87,532.87,1,12.0
BIL00208,CUS0110,2023-01-12,499,67.75,566.75,1,6.0
BIL00209,CUS0170,2023-06-02,0,24.55,24.55,1,13.0
BIL00210,CUS0301,2023-09-23,499,12.3,511.3,1,11.0
BIL00211,CUS0247,2023-12-12,199,76.96,275.96,1,16.0
BIL00212,CUS0286,2023-01-13,799,11.36,810.36,1,10.0
BIL00213,CUS0054,2023-01-04,799,30.4,829.4,1,15.0
BIL00214,CUS0131,2023-02-15,199,76.04,275.04,1,21.0
BIL00215,CUS0371,2023-03-25,799,13.69,812.69,1,16.0
BIL00216,CUS0060,2023-03-06,499,70.39,569.39,1,16.0
BIL00217,CUS0279,2023-07-22,0,72.89,72.89,1,12.0
BIL00218,CUS0269,2023-09-05,50,121.49,171.49,1,3.0
BIL00219,CUS0470,2023-02-11,50,3.85,53.85,1,27.0
BIL00220,CUS0035,2023-02-23,50,43.38,93.38,1,21.0
BIL00221,CUS0061,2023-08-10,0,14.0,14.0,1,15.0
BIL00222,CUS0410,2023-11-07,0,94.12,94.12,1,17.0
BIL00223,CUS0226,2023-05-17,0,7.27,7.27,1,23.0
BIL00224,CUS0085,2023-05-01,799,1.18,800.18,1,20.0
BIL00225,CUS0169,2023-09-21,499,124.64,623.64,1,9.0
BIL00226,CUS0176,2023-04-12,799,105.76,904.76,0,
BIL00227,CUS0021,2023-10-05,50,62.9,112.9,1,21.0
BIL00228,CUS0315,2023-03-13,799,27.14,826.14,1,7.0
BIL00229,CUS0084,2023-06-13,50,9.0,59.0,1,20.0
BIL00230,CUS0176,2023-03-26,799,21.87,820.87,1,11.0
BIL00231,CUS0483,2023-12-25,799,53.3,852.3,1,3.0
BIL00232,CUS0158,2023-09-26,199,22.66,221.66,0,
BIL00233,CUS0391,2023-07-10,799,15.08,814.08,1,13.0
BIL00234,CUS0051,2023-11-03,799,7.43,806.43,1,19.0
BIL00235,CUS0427,2023-11-11,50,30.74,80.74,1,29.0
BIL00236,CUS0220,2023-09-01,499,65.5,564.5,1,20.0
BIL00237,CUS0434,2023-07-10,0,16.47,16.47,1,18.0
BIL00238,CUS0050,2023-07-19,0,69.7,69.7,1,19.0
BIL00239,CUS0361,2023-04-07,799,20.12,819.12,0,
BIL00240,CUS0450,2023-09-29,499,49.29,548.29,0,
BIL00241,CUS0087,2023-10-30,499,79.14,578.14,1,14.0
BIL00242,CUS0348,2023-06-03,0,6.47,6.47,1,28.0
BIL00243,CUS0477,2023-06-15,799,68.03,867.03,1,12.0
BIL00244,CUS0003,2023-07-01,499,20.91,519.91,1,4.0
BIL00245,CUS0360,2023-07-23,799,12.43,811.43,1,1.0
BIL00246,CUS0108,2023-09-29,0,13.59,13.59,1,2.0
BIL00247,CUS0436,2023-03-31,0,57.66,57.66,1,18.0
BIL00248,CUS0079,2023-12-30,50,23.95,73.95,1,3.0
BIL00249,CUS0204,2023-08-18,199,55.4,254.4,1,20.0
BIL00250,CUS0078,2023-09-18,199,2.34,201.34,1,30.0
BIL00251,CUS0259,2023-05-16,50,36.37,86.37,1,23.0
BIL00252,CUS0054,2023-05-09,799,18.83,817.83,1,1.0
BIL00253,CUS0273,2023-08-10,0,33.97,33.97,1,26.0
BIL00254,CUS0210,2023-06-08,50,32.72,82.72,1,22.0
BIL00255,CUS0321,2023-12-06,499,31.83,530.83,1,11.0
BIL00256,CUS0262,2023-08-03,799,8.48,807.48,1,4.0
BIL00257,CUS0432,2023-06-11,50,35.99,85.99,1,22.0
BIL00258,CUS0314,2023-11-28,499,132.12,631.12,1,17.0
BIL00259,CUS0143,2023-09-11,499,4.41,503.41,1,3.0
BIL00260,CUS0003,2023-10-30,499,41.74,540.74,1,7.0
BIL00261,CUS0407,2023-05-11,50,30.0,80.0,1,5.0
BIL00262,CUS0109,2023-12-02,499,35.44,534.44,1,4.0
BIL00263,CUS0164,2023-10-07,199,48.79,247.79,1,9.0
BIL00264,CUS0332,2023-11-18,50,55.13,105.13,1,30.0
BIL00265,CUS0472,2023-12-05,499,79.97,578.97,1,22.0
BIL00266,CUS0123,2023-11-04,0,10.61,10.61,1,27.0
BIL00267,CUS0066,2023-09-11,199,22.72,221.72,0,
BIL00268,CUS0250,2023-04-11,50,69.0,119.0,1,4.0
BIL00269,CUS0315,2023-10-07,799,72.23,871.23,1,29.0
BIL00270,CUS0256,2023-12-23,50,36.53,86.53,1,14.0
BIL00271,CUS0302,2023-10-31,0,30.29,30.29,1,13.0
BIL00272,CUS0362,2023-01-28,0,102.67,102.67,0,
BIL00273,CUS0108,2023-10-16,0,18.71,18.71,1,25.0
BIL00274,CUS0457,2023-05-22,50,14.17,64.17,0,
BIL00275,CUS0361,2023-04-28,799,23.86,822.86,1,6.0
BIL00276,CUS0436,2023-03-19,0,30.73,30.73,1,27.0
BIL00277,CUS0375,2023-10-09,799,30.41,829.41,1,24.0
BIL00278,CUS0241,2023-10-05,799,60.14,859.14,1,19.0
BIL00279,CUS0191,2023-06-28,0,37.28,37.28,1,16.0
BIL00280,CUS0122,2023-07-30,50,17.53,67.53,1,29.0
BIL00281,CUS0430,2023-05-30,50,68.87,118.87,1,20.0
BIL00282,CUS0080,2023-10-26,199,8.93,207.93,1,18.0
BIL00283,CUS0424,2023-08-19,0,51.68,51.68,0,
BIL00284,CUS0381,2023-03-20,799,10.38,809.38,1,27.0
BIL00285,CUS0156,2023-10-14,499,14.48,513.48,1,6.0
BIL00286,CUS0230,2023-10-03,199,3.8,202.8,0,
BIL00287,CUS0147,2023-04-07,0,36.29,36.29,1,24.0
BIL00288,CUS0496,2023-08-08,199,15.37,214.37,1,13.0
BIL00289,CUS0326,2023-05-09,799,56.1,855.1,1,23.0
BIL00290,CUS0497,2023-02-01,199,46.42,245.42,1,16.0
BIL00291,CUS0149,2023-01-18,199,29.48,228.48,1,22.0
BIL00292,CUS0397,2023-11-04,50,26.07,76.07,1,13.0
BIL00293,CUS0158,2023-11-06,199,82.27,281.27,1,14.0
BIL00294,CUS0146,2023-07-18,499,11.27,510.27,1,8.0
BIL00295,CUS0019,2023-09-09,0,13.82,13.82,1,29.0
BIL00296,CUS0111,2023-01-27,499,13.04,512.04,1,22.0
BIL00297,CUS0422,2023-01-18,50,28.2,78.2,1,25.0
BIL00298,CUS0409,2023-02-14,799,64.81,863.81,1,21.0
BIL00299,CUS0342,2023-07-04,499,20.75,519.75,1,5.0
BIL00300,CUS0141,2023-05-22,499,28.01,527.01,1,5.0
BIL00301,CUS0152,2023-02-23,199,14.19,213.19,1,27.0
BIL00302,CUS0394,2023-01-16,799,83.19,882.19,1,25.0
BIL00303,CUS0002,2023-10-27,199,27.06,226.06,1,11.0
BIL00304,CUS0078,2023-10-23,199,2.43,201.43,1,18.0
BIL00305,CUS0373,2023-10-29,199,43.87,242.87,1,23.0
BIL00306,CUS0055,2023-08-26,799,47.49,846.49,1,26.0
BIL00307,CUS0294,2023-02-25,50,98.5,148.5,1,16.0
BIL00308,CUS0416,2023-06-01,799,39.94,838.94,1,13.0
BIL00309,CUS0100,2023-04-02,499,122.95,621.95,1,17.0
BIL00310,CUS0464,2023-01-21,199,10.48,209.48,1,10.0
BIL00311,CUS0195,2023-08-12,50,41.19,91.19,1,28.0
BIL00312,CUS0435,2023-07-09,0,28.38,28.38,1,5.0
BIL00313,CUS0129,2023-01-08,799,52.51,851.51,1,17.0
BIL00314,CUS0348,2023-06-29,0,97.05,97.05,1,1.0
BIL00315,CUS0111,2023-08-02,499,38.54,537.54,1,27.0
BIL00316,CUS0165,2023-06-07,0,35.43,35.43,0,
BIL00317,CUS0448,2023-12-31,799,35.47,834.47,1,21.0
BIL00318,CUS0324,2023-03-19,499,37.56,536.56,1,6.0
BIL00319,CUS0013,2023-08-24,0,2.71,2.71,1,10.0
BIL00320,CUS0227,2023-03-02,799,18.68,817.68,1,15.0
BIL00321,CUS0038,2023-07-29,0,78.43,78.43,1,16.0
BIL00322,CUS0203,2023-12-08,499,2.71,501.71,1,14.0
BIL00323,CUS0272,2023-03-21,199,131.28,330.28,1,13.0
BIL00324,CUS0119,2023-06-15,499,40.56,539.56,0,
BIL00325,CUS0179,2023-05-23,0,116.13,116.13,1,23.0
BIL00326,CUS0196,2023-05-01,499,16.82,515.82,1,15.0
BIL00327,CUS0257,2023-09-26,799,25.67,824.67,0,
BIL00328,CUS0054,2023-09-22,799,40.75,839.75,0,
BIL00329,CUS0147,2023-05-01,0,71.7,71.7,1,27.0
BIL00330,CUS0456,2023-02-17,799,49.84,848.84,1,22.0
BIL00331,CUS0206,2023-11-14,50,96.6,146.6,1,25.0
BIL00332,CUS0190,2023-11-29,799,29.04,828.04,1,6.0
BIL00333,CUS0117,2023-10-30,799,48.08,847.08,1,13.0
BIL00334,CUS0500,2023-06-01,50,33.32,83.32,1,2.0
BIL00335,CUS0376,2023-06-11,199,32.56,231.56,1,20.0
BIL00336,CUS0407,2023-10-18,50,40.83,90.83,1,14.0
BIL00337,CUS0423,2023-11-16,199,32.53,231.53,1,3.0
BIL00338,CUS0474,2023-12-07,50,17.14,67.14,1,7.0
BIL00339,CUS0055,2023-08-04,799,4.1,803.1,1,10.0
BIL00340,CUS0118,2023-06-21,0,50.51,50.51,1,29.0
BIL00341,CUS0106,2023-01-13,0,1.16,1.16,1,18.0
BIL00342,CUS0063,2023-08-13,0,1.59,1.59,1,17.0
BIL00343,CUS0024,2023-11-30,799,4.04,803.04,1,5.0
BIL00344,CUS0295,2023-12-28,0,11.72,11.72,1,7.0
BIL00345,CUS0150,2023-07-09,0,18.82,18.82,0,
BIL00346,CUS0179,2023-04-17,0,17.72,17.72,1,28.0
BIL00347,CUS0385,2023-10-09,199,89.86,288.86,1,29.0
BIL00348,CUS0324,2023-03-01,499,29.15,528.15,1,27.0
BIL00349,CUS0486,2023-05-05,199,60.85,259.85,1,11.0
BIL00350,CUS0307,2023-11-28,499,12.58,511.58,1,4.0
BIL00351,CUS0347,2023-11-30,199,17.98,216.98,1,29.0
BIL00352,CUS0446,2023-02-05,0,42.07,42.07,1,17.0
BIL00353,CUS0427,2023-01-28,50,34.51,84.51,0,
BIL00354,CUS0277,2023-04-11,0,10.83,10.83,1,25.0
BIL00355,CUS0182,2023-03-04,50,95.38,145.38,1,11.0
BIL00356,CUS0225,2023-06-15,0,22.17,22.17,0,
BIL00357,CUS0090,2023-11-25,499,14.35,513.35,1,4.0
BIL00358,CUS0314,2023-01-22,499,111.0,610.0,1,29.0
BIL00359,CUS0008,2023-10-12,799,91.41,890.41,1,2.0
BIL00360,CUS0437,2023-05-08,499,10.27,509.27,1,14.0
BIL00361,CUS0144,2023-10-18,199,20.8,219.8,1,22.0
BIL00362,CUS0254,2023-12-21,799,87.48,886.48,0,
BIL00363,CUS0471,2023-09-21,799,97.27,896.27,1,4.0
BIL00364,CUS0007,2023-04-19,50,153.2,203.2,1,5.0
BIL00365,CUS0279,2023-03-23,0,38.74,38.74,1,14.0
BIL00366,CUS0392,2023-04-26,199,55.27,254.27,1,16.0
BIL00367,CUS0027,2023-09-30,0,13.24,13.24,0,
BIL00368,CUS0121,2023-01-14,50,67.73,117.73,1,24.0
BIL00369,CUS0102,2023-08-25,799,58.48,857.48,1,19.0
BIL00370,CUS0112,2023-07-19,799,9.7,808.7,1,27.0
BIL00371,CUS0417,2023-10-14,0,53.14,53.14,1,29.0
BIL00372,CUS0324,2023-12-11,499,6.62,505.62,0,
BIL00373,CUS0188,2023-03-28,499,65.47,564.47,1,22.0
BIL00374,CUS0115,2023-07-06,50,4.02,54.02,1,21.0
BIL00375,CUS0080,2023-04-30,199,61.67,260.67,1,5.0
BIL00376,CUS0112,2023-07-10,799,39.22,838.22,1,2.0
BIL00377,CUS0097,2023-12-23,199,21.93,220.93,1,12.0
BIL00378,CUS0006,2023-11-08,199,69.52,268.52,1,28.0
BIL00379,CUS0279,2023-06-30,0,64.75,64.75,1,25.0
BIL00380,CUS0089,2023-01-03,50,65.67,115.67,1,15.0
BIL00381,CUS0406,2023-05-04,799,96.67,895.67,1,4.0
BIL00382,CUS0094,2023-05-17,499,43.95,542.95,1,27.0
BIL00383,CUS0406,2023-12-10,799,33.26,832.26,1,12.0
BIL00384,CUS0454,2023-10-17,499,37.2,536.2,1,20.0
BIL00385,CUS0134,2023-10-02,50,107.33,157.33,1,30.0
BIL00386,CUS0368,2023-10-27,799,31.24,830.24,1,6.0
BIL00387,CUS0072,2023-08-12,199,54.28,253.28,1,30.0
BIL00388,CUS0351,2023-06-02,799,53.34,852.34,1,11.0
BIL00389,CUS0486,2023-11-09,199,105.66,304.66,1,25.0
BIL00390,CUS0040,2023-09-17,0,52.67,52.67,1,2.0
BIL00391,CUS0458,2023-08-31,0,16.93,16.93,1,16.0
BIL00392,CUS0278,2023-06-27,199,13.03,212.03,1,15.0
BIL00393,CUS0399,2023-04-11,799,63.24,862.24,1,6.0
BIL00394,CUS0070,2023-07-29,199,9.48,208.48,1,11.0
BIL00395,CUS0477,2023-09-08,799,5.28,804.28,0,
BIL00396,CUS0253,2023-04-05,799,6.97,805.97,0,
BIL00397,CUS0148,2023-10-31,199,57.23,256.23,1,11.0
BIL00398,CUS0313,2023-12-25,499,36.55,535.55,1,25.0
BIL00399,CUS0239,2023-01-18,199,79.95,278.95,1,23.0
BIL00400,CUS0191,2023-10-22,0,63.27,63.27,1,6.0
